trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda
10,PRUNED,-0.31156372319194425,-0.28710342674210537,2026-08-09 20:44:27.416113,2026-08-09 20:44:58.350351,30.934238,800,0.07135266297356625,10,16.32817699779017,0.8382907833122346,0.7691916747973934,0.6675857013831901
11,COMPLETE,-0.28791162510811963,-0.28710342674210537,2026-08-09 20:44:58.360414,2026-08-09 20:45:27.345145,28.984731,400,0.04331321634217202,5,3.775114070887783,0.8788623593360378,0.7281272798971883,0.054629230988272014
12,PRUNED,-0.28825250789620965,-0.28710342674210537,2026-08-09 20:45:27.352534,2026-08-09 20:45:47.053696,19.701162,300,0.011216702279471467,5,4.007913935495436,0.8526572036602055,0.6029498274479523,0.43184071158084364
13,PRUNED,-0.2889127183652397,-0.28710342674210537,2026-08-09 20:45:47.060628,2026-08-09 20:46:00.432250,13.371622,600,0.04924185908787293,4,3.592204777555291,0.7897130730662164,0.7064745186681746,0.02206098640593622
14,COMPLETE,-0.28725015134866494,-0.28710342674210537,2026-08-09 20:46:00.439383,2026-08-09 20:46:31.855044,31.415661,400,0.01742988743481708,6,11.363322222315164,0.6978753170579768,0.865362571444793,0.5661324486824437
15,COMPLETE,-0.2877677102327449,-0.28710342674210537,2026-08-09 20:46:31.862538,2026-08-09 20:47:08.284296,36.421758,700,0.03081757006866543,4,2.4999733300139253,0.9150721343926739,0.7653656398770852,0.021728691181566718
16,COMPLETE,-0.28727413472930996,-0.28710342674210537,2026-08-09 20:47:08.291435,2026-08-09 20:47:32.278369,23.986934,300,0.017223008021498697,6,5.314335109629847,0.8126434416562789,0.6791279934852684,0.22913275045852932
17,PRUNED,-0.290018830764476,-0.28710342674210537,2026-08-09 20:47:32.285319,2026-08-09 20:47:42.971867,10.686548,500,0.08768701749080461,4,9.776042572157433,0.8906087840241121,0.7621685341038414,2.047147040324719
18,PRUNED,-0.2997986807520308,-0.28710342674210537,2026-08-09 20:47:42.978992,2026-08-09 20:47:49.759035,6.780043,200,0.1514527034326908,6,2.6629657651809344,0.6042706732076327,0.8907859007152179,0.03281292907267304
19,PRUNED,-0.29257675231711966,-0.28710342674210537,2026-08-09 20:47:49.766713,2026-08-09 20:48:05.024361,15.257648,500,0.044088914536090144,7,4.878331183965561,0.7294464743932147,0.8096254890448927,0.007787624170325366
