trial,state,objective_neg_log_loss,best_so_far,datetime_start,datetime_complete,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda
23,PRUNED,-0.2877506154607154,-0.2868097044283557,2026-08-09 20:31:16.681408,2026-08-09 20:31:27.469773,10.788365,300,0.041335185346522745,29,17,0.9425860199583816,0.6345165658810287,0.01828929513721437
24,COMPLETE,-0.28704759963869464,-0.2868097044283557,2026-08-09 20:31:27.477545,2026-08-09 20:31:50.096429,22.618884,500,0.023319628708131715,52,7,0.8008984437011332,0.6000965684400036,0.7498219215595531
25,PRUNED,-0.2877885399468648,-0.2868097044283557,2026-08-09 20:31:50.104461,2026-08-09 20:32:01.369512,11.265051,300,0.015387376947850794,20,20,0.8679398157415039,0.7573822440229475,0.03875854497009542
26,PRUNED,-0.29900253945587285,-0.2868097044283557,2026-08-09 20:32:01.377116,2026-08-09 20:32:28.423026,27.04591,1000,0.055623679842607424,29,40,0.7288543750571814,0.6447845110951542,0.011583571696644347
27,PRUNED,-0.28894416116042476,-0.2868097044283557,2026-08-09 20:32:28.430981,2026-08-09 20:32:39.533223,11.102242,700,0.02913235415591266,42,14,0.8493787630954139,0.7024470037903304,0.06564827856249239
28,COMPLETE,-0.28715625499645936,-0.2868097044283557,2026-08-09 20:32:39.542851,2026-08-09 20:32:58.982508,19.439657,500,0.017633692471240733,19,7,0.8909610752221658,0.6505702436985267,0.5828193467895721
29,PRUNED,-0.2894106458657856,-0.2868097044283557,2026-08-09 20:32:58.990531,2026-08-09 20:33:13.613188,14.622657,700,0.021183253569586728,73,10,0.9461050396996755,0.6819808636639447,0.0038007407799393734
30,PRUNED,-0.2879139103259007,-0.2868097044283557,2026-08-09 20:33:13.628330,2026-08-09 20:33:27.296409,13.668079,200,0.012415502113922072,194,26,0.8116699425089083,0.6248236176976205,0.11785544061300568
31,COMPLETE,-0.2869840234606195,-0.2868097044283557,2026-08-09 20:33:27.309267,2026-08-09 20:34:01.748951,34.439684,900,0.011859006106400437,25,10,0.8112936575223633,0.6042628344807767,0.024701647231186487
32,COMPLETE,-0.28687288362885355,-0.2868097044283557,2026-08-09 20:34:01.757287,2026-08-09 20:34:35.397537,33.64025,900,0.010117655247226548,29,14,0.7924404180788492,0.6622498765672256,0.031428457931537084
33,COMPLETE,-0.2868579025261228,-0.2868097044283557,2026-08-09 20:34:35.404802,2026-08-09 20:35:12.758364,37.353562,1000,0.010257607682466816,29,16,0.7211371441312667,0.6690974691693333,0.037579208884859445
34,COMPLETE,-0.28693313500093304,-0.2868097044283557,2026-08-09 20:35:12.766345,2026-08-09 20:35:53.035807,40.269462,1000,0.010164812561847559,32,14,0.715090908205632,0.6593019273507797,0.011537431023437753
35,PRUNED,-0.28796672350906743,-0.2868097044283557,2026-08-09 20:35:53.043585,2026-08-09 20:36:17.228690,24.185105,1200,0.016560473086470618,19,15,0.7433178247829849,0.7296225086966333,0.036382135048714036
36,COMPLETE,-0.28700242447972873,-0.2868097044283557,2026-08-09 20:36:17.236384,2026-08-09 20:36:49.490018,32.253634,1000,0.013692496153639372,22,6,0.6935344332973242,0.6589458030628014,0.011070759889398542
37,PRUNED,-0.28823522601040574,-0.2868097044283557,2026-08-09 20:36:49.497652,2026-08-09 20:37:01.267795,11.770143,800,0.019323084348535895,29,32,0.7908670269586295,0.6231870003894766,0.07056037663162255
38,PRUNED,-0.287841279821259,-0.2868097044283557,2026-08-09 20:37:01.275333,2026-08-09 20:37:15.291704,14.016371,1100,0.010041561550982993,17,22,0.6874000434384393,0.6405657972906875,0.0025148946780487154
39,PRUNED,-0.2883007923472792,-0.2868097044283557,2026-08-09 20:37:15.299032,2026-08-09 20:37:31.631019,16.331987,1000,0.013676961824711823,49,11,0.7824690501892682,0.706535261985891,0.004190661629856907
40,PRUNED,-0.33995106418093546,-0.2868097044283557,2026-08-09 21:37:14.186869,2026-08-09 21:37:28.316540,14.129671,900,0.13416032434032443,38,6,0.639814992103596,0.6703925554976702,0.26165882082410896
41,COMPLETE,-0.2869178583984328,-0.2868097044283557,2026-08-09 21:37:28.323688,2026-08-09 21:38:03.088031,34.764343,1000,0.010587435932919737,30,14,0.707375775910535,0.6589811002057804,0.011031714485361624
42,PRUNED,-0.28830192273535116,-0.2868097044283557,2026-08-09 21:38:03.094832,2026-08-09 21:38:16.775764,13.680932,1100,0.016502643288562092,32,16,0.6789346475659851,0.6489699213944348,0.02962046710084318
43,COMPLETE,-0.28685297318596575,-0.2868097044283557,2026-08-09 21:38:16.784551,2026-08-09 21:38:41.945254,25.160703,800,0.011677346244506923,28,20,0.7402778590936008,0.619736890246929,0.014468405494509227
44,COMPLETE,-0.2870511223904783,-0.2868097044283557,2026-08-09 21:38:41.951030,2026-08-09 21:39:09.027239,27.076209,800,0.013446085552188784,26,26,0.746781523479193,0.6148826481972153,0.0057386982698393735
45,PRUNED,-0.28708684464661155,-0.2868097044283557,2026-08-09 21:39:09.034382,2026-08-09 21:39:27.731226,18.696844,600,0.018943821329423793,22,21,0.7667181850909459,0.6901535909442504,0.01599141070844874
46,COMPLETE,-0.28683834966124955,-0.2868097044283557,2026-08-09 21:39:27.738434,2026-08-09 21:39:56.717480,28.979046,900,0.011950103009416855,36,18,0.8318264197864259,0.6220234890168155,0.0011065136021090993
47,PRUNED,-0.2874429591225055,-0.2868097044283557,2026-08-09 21:39:56.723359,2026-08-09 21:40:22.743345,26.019986,900,0.012042292457582015,46,32,0.8398007353027678,0.8823755209455302,0.0012124232777004015
48,PRUNED,-0.28725190216095847,-0.2868097044283557,2026-08-09 21:40:22.749289,2026-08-09 21:40:44.652533,21.903244,800,0.011399945117376244,37,18,0.6018950766756682,0.7260134799423271,0.0010412311024863138
49,COMPLETE,-0.2869218742503065,-0.2868097044283557,2026-08-09 21:40:44.658525,2026-08-09 21:41:07.229884,22.571359,700,0.01397708734101154,34,12,0.7452781202205925,0.7509376605388809,0.0024927197211768322
50,PRUNED,-0.2886162730272632,-0.2868097044283557,2026-08-09 21:41:07.236257,2026-08-09 21:41:21.227744,13.991487,900,0.012439186131436781,40,90,0.7834320166894929,0.7839944835498075,0.03838996781109433
51,PRUNED,-0.28794707088930177,-0.2868097044283557,2026-08-09 21:41:21.234281,2026-08-09 21:41:38.325169,17.090888,1000,0.01782260140846289,27,26,0.8535225047162004,0.618046768703043,0.052439673498835764
52,COMPLETE,-0.2870132834555081,-0.2868097044283557,2026-08-09 21:41:38.331417,2026-08-09 21:42:02.764270,24.432853,800,0.015620272434372362,23,18,0.8337213280484537,0.6362403933873504,0.19735421324140634
53,PRUNED,-0.28887452335600444,-0.2868097044283557,2026-08-10 02:50:50.758084,2026-08-10 02:51:05.237659,14.479575,1100,0.02408321477547845,21,23,0.8223363786661283,0.6702317723846787,0.07829123822437331
54,RUNNING,,-0.2868097044283557,2026-08-10 02:51:05.244873,,,900,0.011130837956355935,17,13,0.7931802875868739,0.6156087171541452,0.007894288890374822
